"time","prev_time","pause_mean","pause_cnt","pause_cnt1s","pause_ratio","pause_ratio1s","event_cnt","event_keyboard_cnt","event_mouse_cnt","event_focus_cnt","event_browser_cnt","src_id","ui_id","tgt_len","user_id","edit_distance","rank"
"188467","1","3009.0","55","21","0.878111287387","0.77704850186","210","186","22","2","0","0","1","20","60","9","6"
"340978","188467","3162.61458333","96","36","0.890412284664","0.784997859099","349","299","48","2","0","1","1","35","60","23","4"
"261870","340978","1968.82300885","113","42","0.849570397525","0.71327376179","377","329","46","2","0","2","1","24","60","14","5"
"145341","261870","2133.01694915","59","16","0.8658809283","0.71104505955","203","185","16","2","0","3","1","18","60","14","2"
"85524","145341","1629.38461538","39","10","0.743019503297","0.573967541275","192","170","20","2","0","4","1","20","60","9","3"
"125118","85524","1573.35483871","62","18","0.779648012276","0.598522994293","262","239","21","2","0","5","1","19","60","12","4"
"581483","125118","3700.27083333","144","61","0.916344931838","0.833934955966","499","399","83","5","12","6","1","25","60","22","12"
"431627","581483","2469.52866242","157","67","0.898266327176","0.783644211321","467","365","100","2","0","7","1","25","60","22","2"
"293174","431627","2721.65979381","97","38","0.900492540266","0.784752399599","327","252","73","2","0","8","1","18","60","12","5"
"204276","293174","1901.89130435","92","32","0.856556815289","0.695470833578","320","271","45","4","0","9","1","12","60","10","10"
"249033","204276","1942.61607143","112","44","0.873671360824","0.724907943927","326","265","59","2","0","10","1","19","60","18","16"
"251837","249033","2760.49382716","81","29","0.887875887975","0.786044147603","274","254","18","2","0","11","1","23","60","13","4"
"247661","251837","2054.16346154","104","37","0.862602509075","0.718163134284","349","274","73","2","0","12","1","26","60","21","1"
"129997","247661","1606.88059701","67","24","0.828180650323","0.648438040878","224","197","25","2","0","13","1","21","60","13","1"
"430846","129997","2951.70676692","133","57","0.911177079513","0.820165441944","413","336","75","2","0","14","2","43","60","25","14"
"133338","430846","2039.67741935","62","29","0.948416805412","0.807406740764","127","45","78","4","0","15","2","18","60","6","1"
"277666","133338","4234.30645161","62","29","0.94547766021","0.882221806055","173","122","49","2","0","16","2","22","60","11","6"
"325265","277666","2743.30088496","113","46","0.953047515103","0.843097166925","283","82","139","2","60","17","2","45","60","15","7"
"91089","325265","2898.7","30","17","0.954681684945","0.881423662572","65","35","28","2","0","18","2","30","60","9","3"
"344780","91089","4088.77777778","81","38","0.960586460932","0.888334590173","211","112","95","4","0","19","2","28","60","12","11"
"118809","344780","3978.4137931","29","19","0.971088048885","0.934238988629","61","26","33","2","0","20","2","9","60","6","6"
"224869","118809","3391.31746032","63","25","0.950122071072","0.855911664124","149","95","52","2","0","21","2","22","60","12","9"
"32195","224869","10631.0","3","2","0.990619661438","0.964652896412","12","0","10","2","0","22","2","14","60","0","7"
"233861","32195","3272.72058824","68","38","0.95161228251","0.886329913923","151","82","67","2","0","23","2","18","60","11","12"
"218156","233861","3874.53703704","54","29","0.9590614056","0.894089550597","120","78","40","2","0","24","2","18","60","14","14"
"80478","218156","26679.6666667","3","1","0.994545093069","0.976751410323","11","0","9","2","0","25","2","13","60","0","9"
"62385","80478","3633.625","16","11","0.931922737838","0.89040634768","45","29","14","2","0","26","2","14","60","3","10"
"122536","1","1760.05357143","56","20","0.804359535157","0.636743487628","249","185","39","4","21","0","1","22","76","3","13"
"382533","122536","2636.9296875","128","67","0.882347405322","0.79173822912","492","345","113","13","21","1","1","36","76","26","12"
"280344","382533","1879.90839695","131","57","0.878449333676","0.724106811631","424","322","92","10","0","2","1","23","76","22","12"
"359670","280344","2438.22727273","132","58","0.894836933856","0.776859343287","438","226","184","17","11","3","1","20","76","15","13"
"93203","359670","1920.94736842","38","14","0.783193674023","0.651309507205","190","150","35","5","0","4","1","20","76","10","9"
"169395","93203","1804.69230769","78","33","0.830992650314","0.682050827947","297","209","76","12","0","5","1","23","76","15","2"
"357560","169395","1697.41573034","178","76","0.84500503412","0.686033113324","650","397","199","16","38","6","1","31","76","29","6"
"459298","357560","2829.04827586","145","67","0.893128208701","0.793273648045","517","343","124","15","35","7","1","28","76","25","9"
"438834","459298","2287.79532164","171","80","0.891482884189","0.778672573228","574","305","243","25","1","8","1","21","76","15","13"
"249830","438834","3094.58108108","74","39","0.916619301125","0.839130608814","240","131","98","11","0","9","1","13","76","13","13"
"212975","249830","2098.875","88","41","0.867242634112","0.734090855734","339","191","114","15","19","10","1","22","76","16","8"
"325236","212975","2163.27480916","131","56","0.871333431723","0.738054827879","483","277","156","21","29","11","1","26","76","21","2"
"183242","325236","1626.78888889","90","35","0.799003503564","0.65303805896","387","271","86","11","19","12","1","23","76","22","13"
"149798","183242","1610.75","76","17","0.817213847982","0.600208280484","296","200","70","5","21","13","1","23","76","16","5"
"316115","149798","1836.14102564","156","73","0.90611960837","0.761899941477","427","173","214","16","24","14","2","43","76","23","6"
"162328","316115","2066.2173913","69","37","0.878277315066","0.763749938396","226","121","96","9","0","15","2","23","76","15","14"
"142668","162328","2368.41818182","55","29","0.913049878039","0.82300866347","149","98","47","4","0","16","2","23","76","11","7"
"339863","142668","1923.03125","160","77","0.90532067333","0.775565448431","474","235","179","12","48","17","2","47","76","33","4"
"349599","339863","2481.48031496","127","64","0.901455667779","0.802021744913","478","181","176","13","108","18","2","33","76","16","13"
"184778","349599","1843.31818182","88","44","0.877875071708","0.737317213088","275","107","137","7","24","19","2","29","76","16","7"
"47327","184778","1006.2972973","37","11","0.786717941133","0.481712341792","147","38","76","4","29","20","2","10","76","8","4"
"414211","47327","2471.06410256","156","88","0.930651286422","0.827614428395","456","135","229","21","71","21","2","24","76","15","12"
"108835","414211","1739.20689655","58","24","0.926852574999","0.740396012312","161","21","109","5","26","22","2","14","76","6","14"
"123619","108835","2223.0","51","29","0.917116300892","0.832655174366","150","50","70","9","21","23","2","13","76","10","9"
"250173","123619","1762.25396825","126","61","0.887561807229","0.749209546993","369","177","137","9","46","24","2","23","76","15","3"
"89439","250173","1885.51162791","43","26","0.90650611031","0.794183745346","110","43","59","8","0","25","2","12","76","5","12"
"57084","89439","1801.76666667","30","21","0.946902809894","0.865005956135","65","15","43","7","0","26","2","14","76","1","14"
"24487","1","4722.0","5","4","0.964185077796","0.936251888757","17","1","15","1","0","0","2","22","3","1","2"
"163426","24487","1794.24691358","81","26","0.889295460943","0.690606145901","255","100","148","7","0","1","2","36","3","21","15"
"235876","163426","1824.91818182","110","40","0.851044616663","0.694771829266","381","239","135","7","0","2","2","34","3","22","17"
"63987","235876","1865.16129032","31","13","0.903621048025","0.761857877381","73","45","27","1","0","3","2","20","3","11","8"
"122106","63987","2887.23076923","39","13","0.922165986929","0.814710169852","129","73","53","3","0","4","2","23","3","6","7"
"138331","122106","3517.02777778","36","16","0.915290137424","0.835004445858","146","64","77","5","0","5","2","25","3","7","14"
"269882","138331","2723.32608696","92","44","0.928353873174","0.830099821403","360","94","253","11","2","6","2","36","3","18","10"
"274152","269882","3048.54761905","84","34","0.934073068954","0.827690478275","328","96","217","15","0","7","2","23","3","18","13"
"121022","274152","2300.65957447","47","22","0.893482176794","0.781213333113","194","72","115","7","0","8","2","22","3","9","16"
"113361","121022","3046.68571429","35","15","0.940658603929","0.832323285786","133","14","112","7","0","9","2","12","3","6","11"
"78886","113361","1987.11111111","36","16","0.906827573967","0.768514058261","116","39","74","3","0","10","2","20","3","9","3"
"92022","78886","1555.03846154","52","18","0.8787246528","0.666960074765","139","74","62","3","0","11","2","29","3","15","5"
"116485","92022","1842.5","58","20","0.917414259347","0.718899429111","165","46","114","5","0","12","2","26","3","15","11"
"123026","116485","2543.72727273","44","20","0.90975891275","0.804382813389","182","48","126","8","0","13","2","23","3","9","8"
"408005","123026","1977.8079096","177","68","0.858009093026","0.712488817539","756","346","390","19","1","14","1","44","3","25","5"
