"time","prev_time","pause_mean","pause_cnt","pause_cnt1s","pause_ratio","pause_ratio1s","event_cnt","event_keyboard_cnt","event_mouse_cnt","event_focus_cnt","event_browser_cnt","src_id","ui_id","tgt_len","user_id","edit_distance","rank"
"221251","220446","2777.85333333","75","36","0.941640941736","0.847611988194","329","92","193","44","0","26","2","15","56","8","9"
"448584","1","2040.11594203","207","65","0.941415654593","0.77155226223","611","176","415","18","2","0","1","20","59","18","15"
"303498","448584","1587.13812155","181","63","0.946536715234","0.716363864012","384","152","218","12","2","1","1","24","59","17","11"
"144061","303498","1240.4953271","107","33","0.921366643297","0.638354585905","205","111","90","4","0","2","1","19","59","18","16"
"227395","144061","1719.832","125","40","0.945398975351","0.730763649157","298","105","185","8","0","3","1","18","59","15","8"
"121711","227395","1103.70192308","104","32","0.943094707956","0.61214680678","166","111","51","4","0","4","1","19","59","12","16"
"234321","121711","1463.11258278","151","47","0.942851899744","0.701059657478","299","154","134","11","0","5","1","21","59","16","9"
"438615","234321","1378.55254237","295","86","0.927175313202","0.657683845742","693","228","440","18","7","6","1","40","59","35","12"
"353115","438615","1690.30612245","196","71","0.938221259363","0.737329198703","476","152","304","18","2","7","1","23","59","22","12"
"315379","353115","1873.5375","160","47","0.950494484414","0.746571585299","379","145","215","16","3","8","1","17","59","12","11"
"139830","315379","1415.40217391","92","27","0.931252234857","0.682743331188","187","90","91","6","0","9","1","15","59","12","6"
"235180","139830","1451.49342105","152","52","0.938119738073","0.69480397993","361","156","195","10","0","10","1","15","59","15","8"
"297736","235180","1387.055","200","66","0.931734825483","0.683773544348","479","159","303","16","1","11","1","25","59","26","7"
"270598","297736","1483.81927711","166","55","0.910258021124","0.688914921766","434","143","277","12","2","12","1","21","59","20","4"
"139454","270598","1198.02777778","108","34","0.927811321296","0.619781433304","175","131","38","4","2","13","1","20","59","13","4"
"697269","139454","2753.32644628","242","115","0.955592461446","0.850833752827","813","144","636","24","9","14","2","30","59","21","5"
"111742","697269","2338.36956522","46","24","0.96261924791","0.84952837787","99","28","66","4","1","15","2","18","59","5","11"
"120461","111742","2408.29166667","48","24","0.959630087746","0.847593827048","109","29","72","4","4","16","2","13","59","5","12"
"293462","120461","2612.37735849","106","53","0.943604282667","0.843707192073","347","50","289","5","3","17","2","38","59","13","6"
"272504","293462","3040.95402299","87","39","0.970859143352","0.868401931715","213","39","159","8","7","18","2","25","59","13","7"
"153540","272504","2096.15714286","70","33","0.955653249967","0.813657678781","115","66","45","2","2","19","2","35","59","17","8"
"47799","153540","1711.61538462","26","12","0.931023661583","0.747379652294","55","15","38","2","0","20","2","10","59","5","1"
"86807","47799","1700.54347826","46","15","0.90113700508","0.704470837605","146","30","112","2","2","21","2","18","59","5","7"
"113964","86807","1650.01492537","67","32","0.970051946229","0.808079744481","136","43","87","6","0","22","2","20","59","8","10"
"58597","113964","4259.38461538","13","7","0.944963052716","0.890694062836","54","8","42","4","0","23","2","12","59","3","10"
"148023","58597","1689.74074074","81","31","0.924646845423","0.722543118299","215","67","142","5","1","24","2","24","59","12","13"
"161547","148023","2348.28787879","66","34","0.95939262258","0.845165803141","148","52","93","3","0","25","2","10","59","8","12"
"158736","161547","2382.546875","64","31","0.960607549642","0.827052464469","184","41","134","8","1","26","2","15","59","10","14"
"104735","1","3579.0","29","22","0.990986776149","0.957511815534","44","14","27","3","0","0","2","18","23","6","14"
"197847","104735","4660.42857143","42","31","0.989340247767","0.948530935521","57","30","25","2","0","1","2","24","23","8","13"
"115500","197847","1992.36363636","55","30","0.948744588745","0.831948051948","165","157","6","2","0","2","2","19","23","7","1"
"85253","115500","3647.56521739","23","15","0.984059211993","0.915240519395","36","15","19","2","0","3","2","16","23","3","10"
"79394","85253","2792.5","28","20","0.98483512608","0.9295916568","43","12","29","2","0","4","2","17","23","3","10"
"27614","79394","3869.85714286","7","6","0.980987904686","0.947888752082","16","3","10","3","0","5","2","21","23","1","6"
"239444","27614","2143.20560748","107","53","0.957731244049","0.823963014316","226","200","24","2","0","6","2","25","23","14","11"
"183071","239444","2536.81690141","71","39","0.983847796756","0.876643488046","97","73","21","3","0","7","2","23","23","9","13"
"58589","183071","4093.5","14","11","0.978152895595","0.947396268924","26","13","11","2","0","8","2","15","23","5","8"
"80940","58589","3600.86363636","22","17","0.978737336298","0.936842105263","40","17","21","2","0","9","2","14","23","5","10"
"113059","80940","2607.4047619","42","31","0.968618155123","0.909127092934","82","17","60","5","0","10","2","15","23","7","4"
"224899","113059","2981.23287671","73","45","0.967678824717","0.895939955269","173","150","21","2","0","11","2","28","23","11","4"
"152921","224899","3711.425","40","26","0.970808456654","0.913478201163","81","49","29","3","0","12","2","21","23","7","8"
"103956","152921","2284.46511628","43","26","0.944938243103","0.841692639194","92","44","45","3","0","13","2","18","23","7","14"
"552446","103956","3391.375","160","96","0.982213646221","0.91015411461","282","212","68","2","0","14","1","28","23","28","10"
"258666","552446","2998.30588235","85","50","0.985270580594","0.900466238315","117","105","10","2","0","15","1","16","23","8","9"
"281996","258666","3914.87323944","71","47","0.985673555653","0.934757939829","117","89","26","2","0","16","1","15","23","6","14"
